model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule O,rule P,rule Q,rule R,rule S,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0200,13,TRUE,NONE,0.000205,6.1e-05,3.9e-05,0.0,4556,TRUE,1,20,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0200,14,FALSE,NONE,0.000196,6.4e-05,4.1e-05,0.0,4560,TRUE,1,20,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0200,15,FALSE,NONE,0.000717,0.000342,5.4e-05,0.0,4876,TRUE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0200,16,FALSE,NONE,0.000383,0.000277,5e-05,0.0,4876,TRUE,1,20,15,15,11,21,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0500,1,TRUE,NONE,0.002364,0.000318,0.000266,0.001635,7216,FALSE,5,20,15,15,11,23,23,8,4,0,5,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3
AirplaneLD-COL-0500,2,TRUE,NONE,0.000154,0.000417,6.1e-05,0.0,5212,TRUE,1,20,15,19,15,27,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AirplaneLD-COL-0500,3,FALSE,NONE,0.001231,0.000189,0.000153,0.001527,7216,FALSE,3,20,15,15,11,23,23,7,2,0,6,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3
AirplaneLD-COL-0500,4,FALSE,NONE,0.001998,0.00033,5.4e-05,0.0,5208,TRUE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0500,5,TRUE,NONE,0.0016,0.000347,6.3e-05,0.0,5212,TRUE,1,20,15,17,15,25,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0500,6,FALSE,NONE,0.00162,0.000339,0.000227,0.002192,7216,FALSE,19,20,15,17,15,25,27,14,12,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,2
AirplaneLD-COL-0500,7,TRUE,NONE,0.002159,0.000375,0.000372,0.002487,7216,FALSE,13,20,15,16,15,24,27,9,7,0,4,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,3
AirplaneLD-COL-0500,8,FALSE,NONE,0.001873,0.000417,0.000264,0.002359,7216,FALSE,12,20,15,16,15,24,27,12,9,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,3
AirplaneLD-COL-0500,9,FALSE,NONE,0.001613,0.000336,5.3e-05,0.0,5208,TRUE,1,20,15,17,15,25,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0500,10,FALSE,NONE,0.00127,0.000372,5.2e-05,0.0,5212,TRUE,1,20,15,17,15,25,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0500,11,FALSE,NONE,6.9e-05,7.4e-05,3.2e-05,0.0,4844,TRUE,1,20,15,3,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0500,12,TRUE,NONE,0.001204,0.000169,3.3e-05,0.0,5200,TRUE,1,20,15,9,7,13,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0500,13,TRUE,NONE,9.3e-05,8.6e-05,3.9e-05,0.0,4872,TRUE,1,20,15,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0500,14,FALSE,NONE,0.000676,0.000317,9.5e-05,0.0,5208,TRUE,1,20,15,13,12,19,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0500,15,TRUE,NONE,0.000102,0.000125,3.7e-05,0.0,4848,TRUE,1,20,15,5,4,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0500,16,TRUE,NONE,0.00115,0.000175,4.3e-05,0.0,5212,TRUE,1,20,15,9,8,13,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-1000,1,TRUE,NONE,0.001617,0.000226,3.9e-05,0.0,5568,TRUE,1,20,15,16,12,24,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-1000,2,FALSE,NONE,7.9e-05,4.2e-05,2e-05,0.0,5256,TRUE,1,20,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-1000,3,TRUE,NONE,0.002082,0.000252,4.6e-05,0.0,5572,TRUE,1,20,15,17,15,25,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-1000,4,FALSE,NONE,0.003731,0.000287,4.6e-05,0.0,5568,TRUE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
